,siteId,latitude,longitude
622833,TF,43.108,-70.95
623102,TN11,35.6645,-83.5903
623161,TX03,28.4667,-97.7069
623166,WA14,47.8597,-123.9325
623452,WV05,38.8794,-80.8476
623513,WY08,44.9166,-110.4203
623569,SR,44.48333333,-72.16666667
623572,MN16,47.5311,-93.4686
623578,MN32,48.4132,-92.8305
623591,MT05,48.5102,-113.997
623624,NH02,43.95,-71.73333333
623664,ND00,46.8951,-103.378
623694,CA96,40.539,-121.5772
623713,CO90,40.05,-105.583
623742,AZ03,36.0586,-112.184
624337,GA09,30.7404,-82.1283
624341,IA23,40.9631,-93.3925
624356,LA30,30.7819,-90.2021
624388,ME09,45.4891,-69.6647
624922,OK00,36.7863,-98.18
624930,OR10,44.26664,-122.177
624941,NV05,39.0054,-114.217
