,Variable,Quantile,NRMSE,Model_vs_Observed
0,Precipitation_mm,8.0,0.5007271075286396,Equal
1,Precipitation_mm,3.0,1.3141775818149168,Greater
2,Precipitation_mm,2.0,1.9375138633021587,Greater
3,Precipitation_mm,4.0,0.9828631914727503,Greater
6,Precipitation_mm,6.0,0.6584223028422693,Equal
8,Precipitation_mm,1.0,3.3572018409650894,Greater
9,Precipitation_mm,7.0,0.5587045981514052,Equal
10,Precipitation_mm,5.0,0.8075175503636963,Greater
17,Precipitation_mm,9.0,0.48190905101423837,Less
53,Precipitation_mm,0.0,6.863718370921505,Greater
157886,WetDep_DOC_mgm2,6.0,0.6881753021130906,Less
157887,WetDep_DOC_mgm2,4.0,0.7338150541866395,Less
157889,WetDep_DOC_mgm2,1.0,0.8165206650572414,Equal
157892,WetDep_DOC_mgm2,5.0,0.7002148022610744,Less
157893,WetDep_DOC_mgm2,9.0,0.694402260816776,Less
157895,WetDep_DOC_mgm2,2.0,0.7588059011304896,Less
157896,WetDep_DOC_mgm2,7.0,0.6924919019916791,Less
157898,WetDep_DOC_mgm2,8.0,0.6688583885366042,Less
157901,WetDep_DOC_mgm2,0.0,1.5308432304016317,Greater
157906,WetDep_DOC_mgm2,3.0,0.979353629235259,Less
160346,WetDep_NH4_mgm2,1.0,2.807701641019222,Greater
160347,WetDep_NH4_mgm2,0.0,5.253814368080745,Greater
160349,WetDep_NH4_mgm2,2.0,1.691038000527627,Greater
160350,WetDep_NH4_mgm2,5.0,0.6691684184854492,Equal
160352,WetDep_NH4_mgm2,3.0,1.157333074325122,Greater
160353,WetDep_NH4_mgm2,9.0,0.6296136000414051,Less
160354,WetDep_NH4_mgm2,8.0,0.5802864667367716,Less
160359,WetDep_NH4_mgm2,7.0,0.5562637208968793,Less
160360,WetDep_NH4_mgm2,4.0,0.8532607144132258,Equal
160373,WetDep_NH4_mgm2,6.0,0.5842319232782911,Less
315362,WetDep_NO3_mgm2,5.0,1.11938109855605,Greater
315363,WetDep_NO3_mgm2,9.0,0.4225764890757169,Equal
315364,WetDep_NO3_mgm2,1.0,3.9028309691268426,Greater
315366,WetDep_NO3_mgm2,8.0,0.5047155119602608,Equal
315368,WetDep_NO3_mgm2,3.0,1.8470095393799826,Greater
315369,WetDep_NO3_mgm2,2.0,2.4977526891522293,Greater
315371,WetDep_NO3_mgm2,7.0,0.6697521690568826,Greater
315381,WetDep_NO3_mgm2,6.0,0.8700789063284962,Greater
315388,WetDep_NO3_mgm2,4.0,1.429032874057932,Greater
315449,WetDep_NO3_mgm2,0.0,6.326187133131354,Greater
470325,WetDep_SO4_mgm2,1.0,2.580006825141401,Greater
470326,WetDep_SO4_mgm2,4.0,0.849154751709439,Equal
470328,WetDep_SO4_mgm2,8.0,0.6067827145730985,Less
470330,WetDep_SO4_mgm2,6.0,0.5874438933285642,Less
470333,WetDep_SO4_mgm2,2.0,1.6229549197634459,Greater
470334,WetDep_SO4_mgm2,3.0,1.1105764792424715,Greater
470336,WetDep_SO4_mgm2,7.0,0.572566102284787,Less
470337,WetDep_SO4_mgm2,5.0,0.6645822381800419,Equal
470359,WetDep_SO4_mgm2,0.0,4.39480054352782,Greater
470385,WetDep_SO4_mgm2,9.0,0.6558512623650189,Less
