,Variable,Year,Month,Modelled,Observed,Yr-Mon,Mod_SE,Obs_SE,Difference_abs,Perc_Difference_abs
462,WetDep_NH4_mgm2,2002,1,1.4725756032724562,1.471868761904762,2002-01-01,1.1815110793902779,1.4214069753652272,0.0007068413676942775,0.47305560672091984
463,WetDep_NH4_mgm2,2002,2,1.494858778015456,1.9559980681818183,2002-02-01,1.1815110793902779,1.4214069753652272,0.46113929016636224,0.18637526308532926
464,WetDep_NH4_mgm2,2002,3,4.259922079321623,4.421453548387096,2002-03-01,1.1815110793902779,1.4214069753652272,0.16153146906547367,3.2220032005117085
465,WetDep_NH4_mgm2,2002,4,4.4398914640739475,4.679935909090909,2002-04-01,1.1815110793902779,1.4214069753652272,0.2400444450169612,3.385826078251047
466,WetDep_NH4_mgm2,2002,5,5.51856352974625,7.196845251798561,2002-05-01,1.1815110793902779,1.4214069753652272,1.6782817220523114,4.214447845835752
467,WetDep_NH4_mgm2,2002,6,3.2689246645698082,3.586860982142857,2002-06-01,1.1815110793902779,1.4214069753652272,0.31793631757304874,2.1716644489952506
468,WetDep_NH4_mgm2,2002,7,2.16193372871816,2.5366070114942527,2002-07-01,1.1815110793902779,1.4214069753652272,0.3746732827760928,0.9886290257112635
469,WetDep_NH4_mgm2,2002,8,1.9069175017858935,2.159625306122449,2002-08-01,1.1815110793902779,1.4214069753652272,0.2527078043365554,0.7743958776989124
470,WetDep_NH4_mgm2,2002,9,2.0159348605802596,1.8939214545454544,2002-09-01,1.1815110793902779,1.4214069753652272,0.12201340603480526,1.07645933903473
471,WetDep_NH4_mgm2,2002,10,3.9895107883529737,4.39594550295858,2002-10-01,1.1815110793902779,1.4214069753652272,0.4064347146056062,2.8876349604213494
472,WetDep_NH4_mgm2,2002,11,1.9917546317370638,2.199276148148148,2002-11-01,1.1815110793902779,1.4214069753652272,0.2075215164110844,0.8875643298271849
473,WetDep_NH4_mgm2,2002,12,1.4304109794915518,1.708538,2002-12-01,1.1815110793902779,1.4214069753652272,0.27812702050844806,0.23597244085050328
474,WetDep_NH4_mgm2,2003,1,1.5317734475189149,1.445998076923077,2003-01-01,1.1815110793902779,1.4214069753652272,0.08577537059583795,0.5877708737275832
