,Variable,Year,Month,Modelled,Observed,Yr-Mon,Mod_SE,Obs_SE,Difference_abs
968,WetDep_SO4_mgm2,2002,1,13.759903685168206,13.46744953488372,2002-01-01,9.638982331229911,9.501662469950427,0.2924541502844864
969,WetDep_SO4_mgm2,2002,2,20.016007554798804,22.281457458563537,2002-02-01,9.638982331229911,9.501662469950427,2.2654499037647327
970,WetDep_SO4_mgm2,2002,3,38.508434558555614,38.106730105820105,2002-03-01,9.638982331229911,9.501662469950427,0.40170445273550826
971,WetDep_SO4_mgm2,2002,4,30.701682541590017,33.83408156976744,2002-04-01,9.638982331229911,9.501662469950427,3.1323990281774243
972,WetDep_SO4_mgm2,2002,5,37.963617378402546,42.70347038888889,2002-05-01,9.638982331229911,9.501662469950427,4.7398530104863426
973,WetDep_SO4_mgm2,2002,6,30.094962914436607,30.85901918604651,2002-06-01,9.638982331229911,9.501662469950427,0.7640562716099026
974,WetDep_SO4_mgm2,2002,7,36.463079502188656,35.25723184971098,2002-07-01,9.638982331229911,9.501662469950427,1.2058476524776722
975,WetDep_SO4_mgm2,2002,8,28.933016562870026,24.98189067901235,2002-08-01,9.638982331229911,9.501662469950427,3.951125883857678
976,WetDep_SO4_mgm2,2002,9,24.60950394760476,21.68759790960452,2002-09-01,9.638982331229911,9.501662469950427,2.921906038000241
977,WetDep_SO4_mgm2,2002,10,34.34850241676806,32.914052266009854,2002-10-01,9.638982331229911,9.501662469950427,1.4344501507582095
978,WetDep_SO4_mgm2,2002,11,15.842007462056868,17.185847904191615,2002-11-01,9.638982331229911,9.501662469950427,1.3438404421347467
979,WetDep_SO4_mgm2,2002,12,13.204905232220142,14.87365238095238,2002-12-01,9.638982331229911,9.501662469950427,1.6687471487322387
980,WetDep_SO4_mgm2,2003,1,11.042232116656097,8.261048444444445,2003-01-01,9.638982331229911,9.501662469950427,2.781183672211652
981,WetDep_SO4_mgm2,2003,2,21.14170488253357,21.883261282051283,2003-02-01,9.638982331229911,9.501662469950427,0.7415563995177124
982,WetDep_SO4_mgm2,2003,3,31.68525113800264,30.83274,2003-03-01,9.638982331229911,9.501662469950427,0.8525111380026402
983,WetDep_SO4_mgm2,2003,4,42.68286514540289,44.365976238095236,2003-04-01,9.638982331229911,9.501662469950427,1.683111092692343
984,WetDep_SO4_mgm2,2003,5,46.7451390868385,52.673704761904766,2003-05-01,9.638982331229911,9.501662469950427,5.928565675066267
985,WetDep_SO4_mgm2,2003,6,42.761520145389554,46.74260402116402,2003-06-01,9.638982331229911,9.501662469950427,3.981083875774466
986,WetDep_SO4_mgm2,2003,7,35.8520830451313,35.14972104972376,2003-07-01,9.638982331229911,9.501662469950427,0.7023619954075428
987,WetDep_SO4_mgm2,2003,8,33.02245544707975,31.730205714285713,2003-08-01,9.638982331229911,9.501662469950427,1.292249732794037
988,WetDep_SO4_mgm2,2003,9,29.22411014819379,29.133521794871797,2003-09-01,9.638982331229911,9.501662469950427,0.09058835332199422
989,WetDep_SO4_mgm2,2003,10,28.437819219838726,26.473994835164834,2003-10-01,9.638982331229911,9.501662469950427,1.9638243846738916
990,WetDep_SO4_mgm2,2003,11,24.73602712827147,24.307509453551912,2003-11-01,9.638982331229911,9.501662469950427,0.4285176747195578
991,WetDep_SO4_mgm2,2003,12,17.093757534810536,17.791742146596857,2003-12-01,9.638982331229911,9.501662469950427,0.6979846117863211
992,WetDep_SO4_mgm2,2004,1,14.475295575270728,12.996632435233161,2004-01-01,9.638982331229911,9.501662469950427,1.4786631400375665
993,WetDep_SO4_mgm2,2004,2,18.961581234214194,15.943546476190477,2004-02-01,9.638982331229911,9.501662469950427,3.018034758023717
994,WetDep_SO4_mgm2,2004,3,27.957407989111545,30.247926303317538,2004-03-01,9.638982331229911,9.501662469950427,2.2905183142059933
995,WetDep_SO4_mgm2,2004,4,33.097823921482444,35.047477738693466,2004-04-01,9.638982331229911,9.501662469950427,1.949653817211022
996,WetDep_SO4_mgm2,2004,5,33.590671601600285,34.088871445783134,2004-05-01,9.638982331229911,9.501662469950427,0.49819984418284946
997,WetDep_SO4_mgm2,2004,6,40.27029568418091,42.51273030769231,2004-06-01,9.638982331229911,9.501662469950427,2.2424346235114
998,WetDep_SO4_mgm2,2004,7,34.03984531444484,32.10646401098901,2004-07-01,9.638982331229911,9.501662469950427,1.9333813034558318
999,WetDep_SO4_mgm2,2004,8,40.15466651030518,39.02913366834171,2004-08-01,9.638982331229911,9.501662469950427,1.1255328419634694
1000,WetDep_SO4_mgm2,2004,9,23.373142038326,21.55494269005848,2004-09-01,9.638982331229911,9.501662469950427,1.8181993482675232
1001,WetDep_SO4_mgm2,2004,10,26.893532626188083,26.170334039408864,2004-10-01,9.638982331229911,9.501662469950427,0.723198586779219
1002,WetDep_SO4_mgm2,2004,11,20.545389273191383,20.691580351758795,2004-11-01,9.638982331229911,9.501662469950427,0.1461910785674121
1003,WetDep_SO4_mgm2,2004,12,14.773579862606109,16.532709279792748,2004-12-01,9.638982331229911,9.501662469950427,1.7591294171866387
1004,WetDep_SO4_mgm2,2005,1,17.599476210531886,16.850614492610838,2005-01-01,9.638982331229911,9.501662469950427,0.7488617179210486
1005,WetDep_SO4_mgm2,2005,2,17.249807572763935,17.29813135046729,2005-02-01,9.638982331229911,9.501662469950427,0.04832377770335583
1006,WetDep_SO4_mgm2,2005,3,33.60384619117462,32.42549542672414,2005-03-01,9.638982331229911,9.501662469950427,1.178350764450478
1007,WetDep_SO4_mgm2,2005,4,28.57388739695739,32.96128696938776,2005-04-01,9.638982331229911,9.501662469950427,4.387399572430368
1008,WetDep_SO4_mgm2,2005,5,32.46533729102357,35.38568808823529,2005-05-01,9.638982331229911,9.501662469950427,2.920350797211718
1009,WetDep_SO4_mgm2,2005,6,28.367045322829917,27.741999055555553,2005-06-01,9.638982331229911,9.501662469950427,0.6250462672743637
1010,WetDep_SO4_mgm2,2005,7,31.37802804630973,30.48142415822785,2005-07-01,9.638982331229911,9.501662469950427,0.8966038880818807
1011,WetDep_SO4_mgm2,2005,8,39.193784736055534,32.74785128125,2005-08-01,9.638982331229911,9.501662469950427,6.445933454805534
1012,WetDep_SO4_mgm2,2005,9,25.15940989948508,22.112378385620914,2005-09-01,9.638982331229911,9.501662469950427,3.047031513864166
1013,WetDep_SO4_mgm2,2005,10,22.717590352280435,21.985731324175823,2005-10-01,9.638982331229911,9.501662469950427,0.731859028104612
1014,WetDep_SO4_mgm2,2005,11,16.67320007124676,18.437651355932204,2005-11-01,9.638982331229911,9.501662469950427,1.7644512846854425
1015,WetDep_SO4_mgm2,2005,12,13.394807928661129,12.97883323756906,2005-12-01,9.638982331229911,9.501662469950427,0.4159746910920692
1016,WetDep_SO4_mgm2,2006,1,16.247222175561355,18.629841260869565,2006-01-01,9.638982331229911,9.501662469950427,2.3826190853082103
1017,WetDep_SO4_mgm2,2006,2,16.034153658453977,15.103430361702127,2006-02-01,9.638982331229911,9.501662469950427,0.9307232967518502
1018,WetDep_SO4_mgm2,2006,3,27.81793699629906,27.087778957943925,2006-03-01,9.638982331229911,9.501662469950427,0.7301580383551354
1019,WetDep_SO4_mgm2,2006,4,31.39679001446864,32.07831507936508,2006-04-01,9.638982331229911,9.501662469950427,0.6815250648964444
1020,WetDep_SO4_mgm2,2006,5,35.46388423570369,37.821507070652174,2006-05-01,9.638982331229911,9.501662469950427,2.3576228349484865
1021,WetDep_SO4_mgm2,2006,6,36.98757878529668,38.6460537816092,2006-06-01,9.638982331229911,9.501662469950427,1.6584749963125205
1022,WetDep_SO4_mgm2,2006,7,34.01424459560113,32.53988685964912,2006-07-01,9.638982331229911,9.501662469950427,1.4743577359520046
1023,WetDep_SO4_mgm2,2006,8,50.7569570189961,47.41873479781421,2006-08-01,9.638982331229911,9.501662469950427,3.338222221181887
1024,WetDep_SO4_mgm2,2006,9,36.86690379434423,34.10529814141414,2006-09-01,9.638982331229911,9.501662469950427,2.7616056529300934
1025,WetDep_SO4_mgm2,2006,10,28.58530625480748,29.25036798019802,2006-10-01,9.638982331229911,9.501662469950427,0.6650617253905402
1026,WetDep_SO4_mgm2,2006,11,21.799814313337954,24.914053830508475,2006-11-01,9.638982331229911,9.501662469950427,3.114239517170521
1027,WetDep_SO4_mgm2,2006,12,15.35382776288131,17.060587028735632,2006-12-01,9.638982331229911,9.501662469950427,1.7067592658543234
1028,WetDep_SO4_mgm2,2007,1,19.08689610956315,19.355411778846154,2007-01-01,9.638982331229911,9.501662469950427,0.26851566928300485
1029,WetDep_SO4_mgm2,2007,2,15.758193737034995,12.217449174757283,2007-02-01,9.638982331229911,9.501662469950427,3.5407445622777125
1030,WetDep_SO4_mgm2,2007,3,23.684325864832548,23.36816289473684,2007-03-01,9.638982331229911,9.501662469950427,0.31616297009570715
1031,WetDep_SO4_mgm2,2007,4,30.93676427067105,32.58677622222222,2007-04-01,9.638982331229911,9.501662469950427,1.6500119515511713
1032,WetDep_SO4_mgm2,2007,5,28.572208266311137,25.682207086021506,2007-05-01,9.638982331229911,9.501662469950427,2.89000118028963
1033,WetDep_SO4_mgm2,2007,6,20.959034521934043,20.257443930635837,2007-06-01,9.638982331229911,9.501662469950427,0.7015905912982063
1034,WetDep_SO4_mgm2,2007,7,39.711426128989736,37.1307527688172,2007-07-01,9.638982331229911,9.501662469950427,2.5806733601725327
1035,WetDep_SO4_mgm2,2007,8,45.079715817364495,37.671643682291666,2007-08-01,9.638982331229911,9.501662469950427,7.408072135072828
1036,WetDep_SO4_mgm2,2007,9,20.12476948123207,19.274363151351352,2007-09-01,9.638982331229911,9.501662469950427,0.8504063298807196
1037,WetDep_SO4_mgm2,2007,10,25.55937943680626,24.789916958139532,2007-10-01,9.638982331229911,9.501662469950427,0.7694624786667283
1038,WetDep_SO4_mgm2,2007,11,20.76923663906222,23.19280244270833,2007-11-01,9.638982331229911,9.501662469950427,2.4235658036461096
1039,WetDep_SO4_mgm2,2007,12,15.120500374769597,15.19795398067633,2007-12-01,9.638982331229911,9.501662469950427,0.077453605906733
1040,WetDep_SO4_mgm2,2008,1,20.55926775134438,18.22507587628866,2008-01-01,9.638982331229911,9.501662469950427,2.334191875055719
1041,WetDep_SO4_mgm2,2008,2,19.296646847300845,19.106362584615383,2008-02-01,9.638982331229911,9.501662469950427,0.19028426268546283
1042,WetDep_SO4_mgm2,2008,3,27.207314530590914,29.07083446842105,2008-03-01,9.638982331229911,9.501662469950427,1.8635199378301373
1043,WetDep_SO4_mgm2,2008,4,40.27026096480624,44.59699532019704,2008-04-01,9.638982331229911,9.501662469950427,4.326734355390798
1044,WetDep_SO4_mgm2,2008,5,30.390563714615286,31.337122052356023,2008-05-01,9.638982331229911,9.501662469950427,0.9465583377407363
1045,WetDep_SO4_mgm2,2008,6,27.121115754422455,29.510451533333335,2008-06-01,9.638982331229911,9.501662469950427,2.38933577891088
1046,WetDep_SO4_mgm2,2008,7,43.091288928592505,41.607630126506024,2008-07-01,9.638982331229911,9.501662469950427,1.483658802086481
1047,WetDep_SO4_mgm2,2008,8,32.644009117762884,25.419244851612905,2008-08-01,9.638982331229911,9.501662469950427,7.224764266149979
1048,WetDep_SO4_mgm2,2008,9,31.950978460997018,25.14562203409091,2008-09-01,9.638982331229911,9.501662469950427,6.805356426906108
1049,WetDep_SO4_mgm2,2008,10,27.161167561397047,23.19423178846154,2008-10-01,9.638982331229911,9.501662469950427,3.966935772935507
1050,WetDep_SO4_mgm2,2008,11,17.395779740164688,18.75104852747253,2008-11-01,9.638982331229911,9.501662469950427,1.3552687873078426
1051,WetDep_SO4_mgm2,2008,12,22.43458011662429,22.45873974528302,2008-12-01,9.638982331229911,9.501662469950427,0.02415962865872956
1052,WetDep_SO4_mgm2,2009,1,16.295316275950988,12.440067912568306,2009-01-01,9.638982331229911,9.501662469950427,3.8552483633826817
1053,WetDep_SO4_mgm2,2009,2,16.217982687569098,13.913524437810944,2009-02-01,9.638982331229911,9.501662469950427,2.304458249758154
1054,WetDep_SO4_mgm2,2009,3,30.34451336613883,28.701647854651164,2009-03-01,9.638982331229911,9.501662469950427,1.642865511487667
1055,WetDep_SO4_mgm2,2009,4,50.96534735115188,49.508149323671496,2009-04-01,9.638982331229911,9.501662469950427,1.4571980274803806
1056,WetDep_SO4_mgm2,2009,5,36.65279767145942,33.822798665024635,2009-05-01,9.638982331229911,9.501662469950427,2.8299990064347824
1057,WetDep_SO4_mgm2,2009,6,43.37288068325816,36.365456134715025,2009-06-01,9.638982331229911,9.501662469950427,7.007424548543135
1058,WetDep_SO4_mgm2,2009,7,40.572711190182495,32.71942156284153,2009-07-01,9.638982331229911,9.501662469950427,7.853289627340963
