,Variable,Error_bin,Bin_count,Total_count,90_perc
0,Precipitation_mm,"(0, 25]",38665,175213,157691.7
1,Precipitation_mm,"(25, 50]",37223,175213,157691.7
2,Precipitation_mm,"(50, 75]",31457,175213,157691.7
3,Precipitation_mm,"(75, 100]",22244,175213,157691.7
4,Precipitation_mm,"(100, 125]",5729,175213,157691.7
5,Precipitation_mm,"(125, 150]",4491,175213,157691.7
6,Precipitation_mm,"(150, 175]",3601,175213,157691.7
7,Precipitation_mm,"(175, 200]",2983,175213,157691.7
8,Precipitation_mm,"(200, 225]",2503,175213,157691.7
9,Precipitation_mm,"(225, 250]",2065,175213,157691.7
10,Precipitation_mm,"(250, 275]",1819,175213,157691.7
11,Precipitation_mm,"(275, 300]",1514,175213,157691.7
12,Precipitation_mm,"(300, 325]",1343,175213,157691.7
13,Precipitation_mm,"(325, 350]",1189,175213,157691.7
14,Precipitation_mm,"(350, 375]",1060,175213,157691.7
15,Precipitation_mm,"(375, 400]",959,175213,157691.7
16,Precipitation_mm,"(400, 425]",806,175213,157691.7
17,Precipitation_mm,"(425, 450]",708,175213,157691.7
18,Precipitation_mm,"(450, 475]",657,175213,157691.7
19,Precipitation_mm,"(475, 500]",593,175213,157691.7
20,Precipitation_mm,"(500, 525]",505,175213,157691.7
21,Precipitation_mm,"(525, 550]",555,175213,157691.7
22,Precipitation_mm,"(550, 575]",452,175213,157691.7
23,Precipitation_mm,"(575, 600]",421,175213,157691.7
24,Precipitation_mm,"(600, 625]",391,175213,157691.7
25,Precipitation_mm,"(625, 650]",366,175213,157691.7
26,Precipitation_mm,"(650, 675]",321,175213,157691.7
27,Precipitation_mm,"(675, 700]",323,175213,157691.7
28,Precipitation_mm,"(700, 725]",332,175213,157691.7
29,Precipitation_mm,"(725, 750]",275,175213,157691.7
30,Precipitation_mm,"(750, 775]",270,175213,157691.7
31,Precipitation_mm,"(775, 800]",246,175213,157691.7
32,Precipitation_mm,"(800, 825]",249,175213,157691.7
33,Precipitation_mm,"(825, 850]",205,175213,157691.7
34,Precipitation_mm,"(850, 875]",193,175213,157691.7
35,Precipitation_mm,"(875, 900]",200,175213,157691.7
36,Precipitation_mm,"(900, 925]",187,175213,157691.7
37,Precipitation_mm,"(925, 950]",177,175213,157691.7
38,Precipitation_mm,"(950, 975]",184,175213,157691.7
39,Precipitation_mm,"(975, 1000]",165,175213,157691.7
40,WetDep_DOC_mgm2,"(0, 25]",554,2753,2477.7000000000003
41,WetDep_DOC_mgm2,"(25, 50]",563,2753,2477.7000000000003
42,WetDep_DOC_mgm2,"(50, 75]",599,2753,2477.7000000000003
43,WetDep_DOC_mgm2,"(75, 100]",383,2753,2477.7000000000003
44,WetDep_DOC_mgm2,"(100, 125]",77,2753,2477.7000000000003
45,WetDep_DOC_mgm2,"(125, 150]",48,2753,2477.7000000000003
46,WetDep_DOC_mgm2,"(150, 175]",52,2753,2477.7000000000003
47,WetDep_DOC_mgm2,"(175, 200]",32,2753,2477.7000000000003
48,WetDep_DOC_mgm2,"(200, 225]",32,2753,2477.7000000000003
49,WetDep_DOC_mgm2,"(225, 250]",24,2753,2477.7000000000003
50,WetDep_DOC_mgm2,"(250, 275]",30,2753,2477.7000000000003
51,WetDep_DOC_mgm2,"(275, 300]",27,2753,2477.7000000000003
52,WetDep_DOC_mgm2,"(300, 325]",23,2753,2477.7000000000003
53,WetDep_DOC_mgm2,"(325, 350]",11,2753,2477.7000000000003
54,WetDep_DOC_mgm2,"(350, 375]",5,2753,2477.7000000000003
55,WetDep_DOC_mgm2,"(375, 400]",17,2753,2477.7000000000003
56,WetDep_DOC_mgm2,"(400, 425]",8,2753,2477.7000000000003
57,WetDep_DOC_mgm2,"(425, 450]",16,2753,2477.7000000000003
58,WetDep_DOC_mgm2,"(450, 475]",9,2753,2477.7000000000003
59,WetDep_DOC_mgm2,"(475, 500]",8,2753,2477.7000000000003
60,WetDep_DOC_mgm2,"(500, 525]",3,2753,2477.7000000000003
61,WetDep_DOC_mgm2,"(525, 550]",6,2753,2477.7000000000003
62,WetDep_DOC_mgm2,"(550, 575]",8,2753,2477.7000000000003
63,WetDep_DOC_mgm2,"(575, 600]",1,2753,2477.7000000000003
64,WetDep_DOC_mgm2,"(600, 625]",4,2753,2477.7000000000003
