,Variable,Year,Month,Modelled,Observed,Yr-Mon,Mod_SE,Obs_SE,Perc_Difference_abs,Diff_factor
736,WetDep_NO3_mgm2,2002,1,42.54781082855579,39.68520091836735,2002-01-01,17.97362033853015,15.405390657074697,41.61509066868019,0.9327201598756002
737,WetDep_NO3_mgm2,2002,2,47.55540160525367,46.3645409478673,2002-02-01,17.97362033853015,15.405390657074697,46.58044314874165,0.9749584565120187
738,WetDep_NO3_mgm2,2002,3,65.27037398845306,63.051129386792454,2002-03-01,17.97362033853015,15.405390657074697,64.3043747833934,0.9659992050596614
739,WetDep_NO3_mgm2,2002,4,65.72411429284949,72.67744119617224,2002-04-01,17.97362033853015,15.405390657074697,64.6183186198589,1.1057956729905942
740,WetDep_NO3_mgm2,2002,5,84.46729023829961,90.66280028436019,2002-05-01,17.97362033853015,15.405390657074697,83.3939421999219,1.0733480383777172
741,WetDep_NO3_mgm2,2002,6,76.97093770830536,82.22145231527094,2002-06-01,17.97362033853015,15.405390657074697,75.90272346065174,1.0682142476536185
742,WetDep_NO3_mgm2,2002,7,94.215314683088,87.63176439252337,2002-07-01,17.97362033853015,15.405390657074697,93.28519239153391,0.9301222915540884
743,WetDep_NO3_mgm2,2002,8,71.76423760426407,62.08706145728643,2002-08-01,17.97362033853015,15.405390657074697,70.89908438129446,0.8651532229696168
744,WetDep_NO3_mgm2,2002,9,49.580399563786614,44.04288622727273,2002-09-01,17.97362033853015,15.405390657074697,48.6920871134077,0.88831245037891
745,WetDep_NO3_mgm2,2002,10,71.9708818853408,63.72977850220264,2002-10-01,17.97362033853015,15.405390657074697,71.0853879628996,0.8854939224411987
746,WetDep_NO3_mgm2,2002,11,46.18360350629794,44.419029860465116,2002-11-01,17.97362033853015,15.405390657074697,45.221811301096636,0.9617922052013071
747,WetDep_NO3_mgm2,2002,12,38.56037435833693,39.95280188340807,2002-12-01,17.97362033853015,15.405390657074697,37.524264036581975,1.036110321754957
748,WetDep_NO3_mgm2,2003,1,34.382995861110665,28.639716142857143,2003-01-01,17.97362033853015,15.405390657074697,33.55003423500494,0.8329616261057248
749,WetDep_NO3_mgm2,2003,2,48.87693983080846,51.37197849557522,2003-02-01,17.97362033853015,15.405390657074697,47.82589247241402,1.05104735839444
750,WetDep_NO3_mgm2,2003,3,56.48763108394963,50.867883852813854,2003-03-01,17.97362033853015,15.405390657074697,55.58711741614834,0.9005136678012938
751,WetDep_NO3_mgm2,2003,4,79.1538646674168,82.07670149779736,2003-04-01,17.97362033853015,15.405390657074697,78.1169386519574,1.0369260154594035
752,WetDep_NO3_mgm2,2003,5,79.611298650457,84.49481295454545,2003-05-01,17.97362033853015,15.405390657074697,78.5499566752993,1.0613419751576985
753,WetDep_NO3_mgm2,2003,6,93.91915540641085,90.15585347222222,2003-06-01,17.97362033853015,15.405390657074697,92.95922499517476,0.95993041123609
754,WetDep_NO3_mgm2,2003,7,101.90532564200709,80.56238448113207,2003-07-01,17.97362033853015,15.405390657074697,101.1147645602031,0.7905610818039809
755,WetDep_NO3_mgm2,2003,8,80.89758986986895,65.10318255605381,2003-08-01,17.97362033853015,15.405390657074697,80.0928293985029,0.8047604713660584
756,WetDep_NO3_mgm2,2003,9,61.48117007814348,53.12581112554113,2003-09-01,17.97362033853015,15.405390657074697,60.61707118318072,0.8640988949627574
757,WetDep_NO3_mgm2,2003,10,58.854246174867896,51.46666155251142,2003-10-01,17.97362033853015,15.405390657074697,57.97976956701885,0.8744766078490502
758,WetDep_NO3_mgm2,2003,11,50.413359029666346,45.92384563318777,2003-11-01,17.97362033853015,15.405390657074697,49.50241307174747,0.9109459579188788
759,WetDep_NO3_mgm2,2003,12,54.13128975253742,49.85534415178572,2003-12-01,17.97362033853015,15.405390657074697,53.21028187743042,0.9210078751069983
760,WetDep_NO3_mgm2,2004,1,41.84208844782955,34.263563500000004,2004-01-01,17.97362033853015,15.405390657074697,41.02321050050335,0.8188779473262008
761,WetDep_NO3_mgm2,2004,2,43.07738361699509,40.20928431111111,2004-02-01,17.97362033853015,15.405390657074697,42.14396378192304,0.9334198350720528
762,WetDep_NO3_mgm2,2004,3,66.69812790196636,64.16929871794872,2004-03-01,17.97362033853015,15.405390657074697,65.73604244715021,0.962085454816145
763,WetDep_NO3_mgm2,2004,4,60.30843349420235,63.1791406779661,2004-04-01,17.97362033853015,15.405390657074697,59.260833067239844,1.0476004269625032
764,WetDep_NO3_mgm2,2004,5,67.49915708119815,70.10444728110599,2004-05-01,17.97362033853015,15.405390657074697,66.46055970735578,1.0385973738423697
765,WetDep_NO3_mgm2,2004,6,104.26660692269674,95.77052825327512,2004-06-01,17.97362033853015,15.405390657074697,103.34809109984772,0.9185158228490103
766,WetDep_NO3_mgm2,2004,7,97.67375579984177,73.07665151785714,2004-07-01,17.97362033853015,15.405390657074697,96.9255850049395,0.748170794902263
767,WetDep_NO3_mgm2,2004,8,88.8868113136419,62.36442220779221,2004-08-01,17.97362033853015,15.405390657074697,88.18519516512538,0.7016161485165217
768,WetDep_NO3_mgm2,2004,9,53.441589228167196,44.29591968325792,2004-09-01,17.97362033853015,15.405390657074697,52.61272316480711,0.8288660633600897
769,WetDep_NO3_mgm2,2004,10,53.21357897874199,42.48951215517241,2004-10-01,17.97362033853015,15.405390657074697,52.415107743192394,0.7984712355496013
770,WetDep_NO3_mgm2,2004,11,49.90374234248749,46.55266334745763,2004-11-01,17.97362033853015,15.405390657074697,48.970893198069255,0.9328491444182376
771,WetDep_NO3_mgm2,2004,12,56.55122059225779,50.53895447679325,2004-12-01,17.97362033853015,15.405390657074697,55.657536000705186,0.8936845915526064
772,WetDep_NO3_mgm2,2005,1,52.44947087883481,44.064761457983195,2005-01-01,17.97362033853015,15.405390657074697,51.60933349099007,0.840137387844743
773,WetDep_NO3_mgm2,2005,2,48.9705432205049,43.86809948739496,2005-02-01,17.97362033853015,15.405390657074697,48.07473736248398,0.8958058580209204
774,WetDep_NO3_mgm2,2005,3,69.84254712515165,67.71417692592593,2005-03-01,17.97362033853015,15.405390657074697,68.87302095932343,0.9695261658282325
775,WetDep_NO3_mgm2,2005,4,54.492005144551435,59.64097410593221,2005-04-01,17.97362033853015,15.405390657074697,53.39751478862267,1.0944903559287653
776,WetDep_NO3_mgm2,2005,5,64.92641696972528,62.917516464135026,2005-05-01,17.97362033853015,15.405390657074697,63.95735815821759,0.9690588115076951
777,WetDep_NO3_mgm2,2005,6,81.30915358311869,69.57196788085106,2005-06-01,17.97362033853015,15.405390657074697,80.4535061582598,0.8556474248588847
778,WetDep_NO3_mgm2,2005,7,77.8438219435646,65.34128094570136,2005-07-01,17.97362033853015,15.405390657074697,77.00443251850436,0.8393894250602524
779,WetDep_NO3_mgm2,2005,8,96.74183579496311,69.30616902643172,2005-08-01,17.97362033853015,15.405390657074697,96.02543250928099,0.7164032856821202
780,WetDep_NO3_mgm2,2005,9,42.66571325155654,36.32107854245283,2005-09-01,17.97362033853015,15.405390657074697,41.81441895047914,0.8512943010774057
781,WetDep_NO3_mgm2,2005,10,39.45247066941781,33.41074046052632,2005-10-01,17.97362033853015,15.405390657074697,38.60561013334433,0.8468605360734777
782,WetDep_NO3_mgm2,2005,11,47.55587819862424,44.53023831578947,2005-11-01,17.97362033853015,15.405390657074697,46.619501035536175,0.936377163088068
783,WetDep_NO3_mgm2,2005,12,43.53298453629725,39.67646646222222,2005-12-01,17.97362033853015,15.405390657074697,42.62157295069506,0.9114115856021884
784,WetDep_NO3_mgm2,2006,1,52.54554004003217,45.67280171040724,2006-01-01,17.97362033853015,15.405390657074697,51.67633588539581,0.8692041546363614
785,WetDep_NO3_mgm2,2006,2,45.83064289513855,43.74207883185841,2006-02-01,17.97362033853015,15.405390657074697,44.876214240669505,0.9544286544690455
786,WetDep_NO3_mgm2,2006,3,51.125383483926655,47.481238508474576,2006-03-01,17.97362033853015,15.405390657074697,50.19666206859679,0.9287214153298671
787,WetDep_NO3_mgm2,2006,4,52.9116861590799,53.8655011981982,2006-04-01,17.97362033853015,15.405390657074697,51.89365961129137,1.018026547788529
788,WetDep_NO3_mgm2,2006,5,69.4981082103534,65.34696631578947,2006-05-01,17.97362033853015,15.405390657074697,68.55783849656491,0.9402697137884753
789,WetDep_NO3_mgm2,2006,6,73.32675747686326,67.81710696818182,2006-06-01,17.97362033853015,15.405390657074697,72.40189581242133,0.9248616644419344
790,WetDep_NO3_mgm2,2006,7,84.96442696154983,62.2768148173516,2006-07-01,17.97362033853015,15.405390657074697,84.23145179718446,0.7329751643653716
791,WetDep_NO3_mgm2,2006,8,98.68276817126153,69.04039406222222,2006-08-01,17.97362033853015,15.405390657074697,97.98314861921973,0.6996195520417943
792,WetDep_NO3_mgm2,2006,9,63.626738638708204,48.468620044247785,2006-09-01,17.97362033853015,15.405390657074697,62.86497367823353,0.7617649604746711
793,WetDep_NO3_mgm2,2006,10,54.234822963821145,44.66307052742616,2006-10-01,17.97362033853015,15.405390657074697,53.41131017099393,0.8235127928272192
794,WetDep_NO3_mgm2,2006,11,50.07234397148534,44.44307254782609,2006-11-01,17.97362033853015,15.405390657074697,49.18476673777055,0.8875772337147838
795,WetDep_NO3_mgm2,2006,12,35.24714843289367,34.439626315789475,2006-12-01,17.97362033853015,15.405390657074697,34.2700587150869,0.9770897178067719
796,WetDep_NO3_mgm2,2007,1,48.161615499106674,41.595248419491526,2007-01-01,17.97362033853015,15.405390657074697,47.29795575703961,0.8636597420670629
797,WetDep_NO3_mgm2,2007,2,36.05862821253986,31.611095788793104,2007-02-01,17.97362033853015,15.405390657074697,35.18196991033079,0.8766583022090656
798,WetDep_NO3_mgm2,2007,3,51.94940957244298,50.64103658898305,2007-03-01,17.97362033853015,15.405390657074697,50.97459509416937,0.9748144782736092
799,WetDep_NO3_mgm2,2007,4,53.24428079469633,54.0000041637931,2007-04-01,17.97362033853015,15.405390657074697,52.230087282119634,1.014193512576698
800,WetDep_NO3_mgm2,2007,5,58.19994811776042,55.34470671875,2007-05-01,17.97362033853015,15.405390657074697,57.249007292061286,0.9509408256991364
801,WetDep_NO3_mgm2,2007,6,64.09449344166455,52.03331187782806,2007-06-01,17.97362033853015,15.405390657074697,63.28267156612097,0.811821875543584
802,WetDep_NO3_mgm2,2007,7,86.0889709971475,58.68548798642534,2007-07-01,17.97362033853015,15.405390657074697,85.40728683590494,0.6816841612425574
803,WetDep_NO3_mgm2,2007,8,94.59937324728247,66.69742651121076,2007-08-01,17.97362033853015,15.405390657074697,93.89432178423668,0.7050514630457846
804,WetDep_NO3_mgm2,2007,9,42.89820534162966,33.66260503004292,2007-09-01,17.97362033853015,15.405390657074697,42.1134964065597,0.7847089350699655
805,WetDep_NO3_mgm2,2007,10,54.35526141743356,48.41531926470588,2007-10-01,17.97362033853015,15.405390657074697,53.464541402440176,0.8907200149933868
806,WetDep_NO3_mgm2,2007,11,46.080412350716784,36.869995743362836,2007-11-01,17.97362033853015,15.405390657074697,45.28028939472528,0.8001229559915021
807,WetDep_NO3_mgm2,2007,12,49.25806574044233,40.36918212184874,2007-12-01,17.97362033853015,15.405390657074697,48.43852113358408,0.8195446068582519
808,WetDep_NO3_mgm2,2008,1,52.40622158147671,41.815195783783786,2008-01-01,17.97362033853015,15.405390657074697,51.60831639919271,0.7979051822839984
809,WetDep_NO3_mgm2,2008,2,58.59178284288239,55.83957475799087,2008-02-01,17.97362033853015,15.405390657074697,57.63875543786677,0.953027405015619
810,WetDep_NO3_mgm2,2008,3,52.89512046935365,57.81343041363637,2008-03-01,17.97362033853015,15.405390657074697,51.80213816965112,1.0929822997025271
811,WetDep_NO3_mgm2,2008,4,70.36600749100572,71.06774446606335,2008-04-01,17.97362033853015,15.405390657074697,69.3560348209612,1.0099726700445144
812,WetDep_NO3_mgm2,2008,5,56.38979166911309,50.004595123853214,2008-05-01,17.97362033853015,15.405390657074697,55.503024868886676,0.8867668002264087
813,WetDep_NO3_mgm2,2008,6,70.43276923262606,62.3241704950495,2008-06-01,17.97362033853015,15.405390657074697,69.54789460432336,0.8848746283026954
814,WetDep_NO3_mgm2,2008,7,97.15349458085832,68.83405271641792,2008-07-01,17.97362033853015,15.405390657074697,96.44498632787798,0.7085082529803303
815,WetDep_NO3_mgm2,2008,8,63.463232203069715,44.76050956770833,2008-08-01,17.97362033853015,15.405390657074697,62.75793390649882,0.7052982965708965
816,WetDep_NO3_mgm2,2008,9,44.14535815316075,34.43698598611111,2008-09-01,17.97362033853015,15.405390657074697,43.365276454273335,0.7800816988874167
817,WetDep_NO3_mgm2,2008,10,44.17568993357294,35.51463051931331,2008-10-01,17.97362033853015,15.405390657074697,43.37174933699784,0.8039405965751009
818,WetDep_NO3_mgm2,2008,11,38.820542940040724,30.58574422966507,2008-11-01,17.97362033853015,15.405390657074697,38.032667709214984,0.7878752308257383
819,WetDep_NO3_mgm2,2008,12,60.24114296269077,42.33862428755365,2008-12-01,17.97362033853015,15.405390657074697,59.538323889125465,0.7028190735653088
820,WetDep_NO3_mgm2,2009,1,38.22570544949035,25.91135695145631,2009-01-01,17.97362033853015,15.405390657074697,37.54785381413742,0.6778516353529266
821,WetDep_NO3_mgm2,2009,2,34.104810143720755,28.696945321585904,2009-02-01,17.97362033853015,15.405390657074697,33.263376187611506,0.8414339561092521
822,WetDep_NO3_mgm2,2009,3,42.68570547303568,35.443998939534886,2009-03-01,17.97362033853015,15.405390657074697,41.85535726754744,0.8303482054882438
823,WetDep_NO3_mgm2,2009,4,69.43490423417236,61.12304882017544,2009-04-01,17.97362033853015,15.405390657074697,68.55461139738763,0.880292836784727
824,WetDep_NO3_mgm2,2009,5,60.767753534497736,50.47166088209607,2009-05-01,17.97362033853015,15.405390657074697,59.93718702600498,0.8305665084927552
825,WetDep_NO3_mgm2,2009,6,79.86083974106316,63.340478457777785,2009-06-01,17.97362033853015,15.405390657074697,79.06770409832325,0.7931356427399189
826,WetDep_NO3_mgm2,2009,7,91.09193916488019,56.07717167772512,2009-07-01,17.97362033853015,15.405390657074697,90.47632847317867,0.6156106917015249
827,WetDep_NO3_mgm2,2009,8,66.11005445298797,44.78930242990654,2009-08-01,17.97362033853015,15.405390657074697,65.43255837768588,0.677496075302086
828,WetDep_NO3_mgm2,2009,9,62.155299807716496,39.816843971830984,2009-09-01,17.97362033853015,15.405390657074697,61.51469725097542,0.6406025567410709
829,WetDep_NO3_mgm2,2009,10,49.752609936764,34.63082229147982,2009-10-01,17.97362033853015,15.405390657074697,49.05654952233557,0.6960604144284268
830,WetDep_NO3_mgm2,2009,11,33.35567778788263,24.833600247619046,2009-11-01,17.97362033853015,15.405390657074697,32.61116884983789,0.7445089380447408
831,WetDep_NO3_mgm2,2009,12,51.64293316069646,41.74281727074236,2009-12-01,17.97362033853015,15.405390657074697,50.83463636738978,0.8082967933066839
832,WetDep_NO3_mgm2,2010,1,34.47696377187189,26.5347215754717,2010-01-01,17.97362033853015,15.405390657074697,33.70732750833524,0.7696362635366434
833,WetDep_NO3_mgm2,2010,2,38.6747079834019,29.60897765,2010-02-01,17.97362033853015,15.405390657074697,37.90911777745368,0.7655902059482218
834,WetDep_NO3_mgm2,2010,3,56.29906372699187,44.69479514159292,2010-03-01,17.97362033853015,15.405390657074697,55.505182049699165,0.7938816772927002
835,WetDep_NO3_mgm2,2010,4,42.68652143593453,31.514169665071773,2010-04-01,17.97362033853015,15.405390657074697,41.948251635422224,0.7382698005123086
836,WetDep_NO3_mgm2,2010,5,52.09176523810031,46.07697086363637,2010-05-01,17.97362033853015,15.405390657074697,51.207230597106125,0.884534640994184
837,WetDep_NO3_mgm2,2010,6,91.41462699105301,71.62988634433962,2010-06-01,17.97362033853015,15.405390657074697,90.6310556009805,0.7835713900725124
838,WetDep_NO3_mgm2,2010,7,71.96797808756153,49.355564058823525,2010-07-01,17.97362033853015,15.405390657074697,71.28217913404954,0.6857989535119899
839,WetDep_NO3_mgm2,2010,8,75.80397162667671,52.95292733497537,2010-08-01,17.97362033853015,15.405390657074697,75.10542079617721,0.6985508304994976
840,WetDep_NO3_mgm2,2010,9,44.31399629261458,34.34964042723005,2010-09-01,17.97362033853015,15.405390657074697,43.538854276525306,0.7751420160892778
841,WetDep_NO3_mgm2,2010,10,31.9796659823769,24.295914077669902,2010-10-01,17.97362033853015,15.405390657074697,31.219935906050942,0.7597300763259598
842,WetDep_NO3_mgm2,2010,11,35.38410914630104,26.74857590291262,2010-11-01,17.97362033853015,15.405390657074697,34.628160316493954,0.7559488298070899
843,WetDep_NO3_mgm2,2010,12,38.08205300820206,31.329512119815668,2010-12-01,17.97362033853015,15.405390657074697,37.25936857695388,0.8226844312481777
844,WetDep_NO3_mgm2,2011,1,40.38940336328092,29.13566874509804,2011-01-01,17.97362033853015,15.405390657074697,39.6680342337833,0.721369129497616
845,WetDep_NO3_mgm2,2011,2,37.352832774854214,32.65435652884615,2011-02-01,17.97362033853015,15.405390657074697,36.47861911813715,0.8742136567170601
846,WetDep_NO3_mgm2,2011,3,68.48042807398407,58.39951164840183,2011-03-01,17.97362033853015,15.405390657074697,67.62763679783566,0.8527912761484034
847,WetDep_NO3_mgm2,2011,4,67.33377476478677,60.103897098591546,2011-04-01,17.97362033853015,15.405390657074697,66.44114848163913,0.8926262831476337
848,WetDep_NO3_mgm2,2011,5,68.40325570580823,61.61296521531101,2011-05-01,17.97362033853015,15.405390657074697,67.50252423360611,0.9007314722021242
849,WetDep_NO3_mgm2,2011,6,75.72187635522997,67.97242700000001,2011-06-01,17.97362033853015,15.405390657074697,74.8242173130646,0.8976590421653661
850,WetDep_NO3_mgm2,2011,7,64.91787969956516,49.58951036787565,2011-07-01,17.97362033853015,15.405390657074697,64.1539990768866,0.7638806226785594
851,WetDep_NO3_mgm2,2011,8,84.79110525213524,55.57063517708334,2011-08-01,17.97362033853015,15.405390657074697,84.13572241437367,0.655382837761558
852,WetDep_NO3_mgm2,2011,9,63.738457398940334,46.36365963768117,2011-09-01,17.97362033853015,15.405390657074697,63.01105260237474,0.7274047965655971
853,WetDep_NO3_mgm2,2011,10,38.16473454441629,29.865357274418606,2011-10-01,17.97362033853015,15.405390657074697,37.38219648589367,0.7825380585226177
854,WetDep_NO3_mgm2,2011,11,48.012967762423266,36.78616906086957,2011-11-01,17.97362033853015,15.405390657074697,47.2467962305385,0.7661715318847628
855,WetDep_NO3_mgm2,2011,12,37.56957356195037,33.22335665420561,2011-12-01,17.97362033853015,15.405390657074697,36.68525805063849,0.8843155113118848
856,WetDep_NO3_mgm2,2012,1,41.654688809336946,30.212649304761904,2012-01-01,17.97362033853015,15.405390657074697,40.929376721589705,0.7253120877472431
857,WetDep_NO3_mgm2,2012,2,49.19148663663302,41.604023708860765,2012-02-01,17.97362033853015,15.405390657074697,48.3457300524464,0.8457565841866251
858,WetDep_NO3_mgm2,2012,3,50.60308133821135,39.10209230941704,2012-03-01,17.97362033853015,15.405390657074697,49.830359771157475,0.7727215670538684
859,WetDep_NO3_mgm2,2012,4,34.45171998929508,33.14375362555066,2012-04-01,17.97362033853015,15.405390657074697,33.48968518708929,0.9620348022057873
