,siteId,SamplingInt,dateOnround,dateOffround,latitude,longitude,Modelled_RR,Modelled_global,Observed,Variable,Percent_Error_RR,Percent_Error_global,Precip_Percent_Error_RR,Precip_Percent_Error_global,Error_bin_RR,Error_bin_global,Below_90_glob,Below_90_RR
0,AL10,570.0,2017-01-18,2017-01-25,32.4583,-87.2422,16.465558726766094,16.29950190770262,66.24828,WetDep_SO4_mgm2,302.34456114937706,306.44358566989825,186.69361087903025,163.29939693361547,"(180, 190]","(160, 170]",Y,Y
1,AL10,570.0,2017-01-18,2017-01-25,32.4583,-87.2422,30.453215119759463,20.43533701007183,45.567600000000006,WetDep_NO3_mgm2,49.63149152167394,122.98433335129928,186.69361087903025,163.29939693361547,"(180, 190]","(160, 170]",Y,Y
2,AL10,570.0,2017-01-18,2017-01-25,32.4583,-87.2422,3.010673880674575,2.563997100963125,16.3576,WetDep_NH4_mgm2,443.3202215955352,537.9726402130302,186.69361087903025,163.29939693361547,"(180, 190]","(160, 170]",Y,Y
3,AL10,570.0,2017-01-18,2017-01-25,32.4583,-87.2422,40.75430897875865,44.37533900978071,116.84,Precipitation_mm,186.69361087903025,163.29939693361547,186.69361087903025,163.29939693361547,"(180, 190]","(160, 170]",Y,Y
8,AL10,572.0,2017-02-01,2017-02-08,32.4583,-87.2422,7.431907373197403,9.975179447891994,11.124692,WetDep_SO4_mgm2,49.68824880837911,11.523728050335235,65.80412842304477,26.23710165500819,"(60, 70]","(20, 30]",Y,Y
9,AL10,572.0,2017-02-01,2017-02-08,32.4583,-87.2422,15.496647038249627,11.16079078452778,8.67664,WetDep_NO3_mgm2,44.00956556225441,22.25783846760716,65.80412842304477,26.23710165500819,"(60, 70]","(20, 30]",Y,Y
10,AL10,572.0,2017-02-01,2017-02-08,32.4583,-87.2422,1.7937916044997115,1.1219061431819508,3.393186,WetDep_NH4_mgm2,89.16277629398091,202.44829486147958,65.80412842304477,26.23710165500819,"(60, 70]","(20, 30]",Y,Y
11,AL10,572.0,2017-02-01,2017-02-08,32.4583,-87.2422,45.309563071471715,12.273729194403845,15.494,Precipitation_mm,65.80412842304477,26.23710165500819,65.80412842304477,26.23710165500819,"(60, 70]","(20, 30]",Y,Y
16,AL10,574.0,2017-02-15,2017-02-22,32.4583,-87.2422,13.128893579085295,9.0692995444956,8.03148,WetDep_SO4_mgm2,38.82591894267177,11.443216087459367,82.38692235236427,64.32302047623159,"(80, 90]","(60, 70]",Y,Y
17,AL10,574.0,2017-02-15,2017-02-22,32.4583,-87.2422,19.901345634537158,12.542331691983708,5.302504,WetDep_NO3_mgm2,73.35605291534691,57.72314008097046,82.38692235236427,64.32302047623159,"(80, 90]","(60, 70]",Y,Y
18,AL10,574.0,2017-02-15,2017-02-22,32.4583,-87.2422,2.313957788747771,1.4813970495609894,2.1417279999999996,WetDep_NH4_mgm2,7.443082565519734,44.57487954594608,82.38692235236427,64.32302047623159,"(80, 90]","(60, 70]",Y,Y
19,AL10,574.0,2017-02-15,2017-02-22,32.4583,-87.2422,49.031748867349364,24.206085030955595,8.636,Precipitation_mm,82.38692235236427,64.32302047623159,82.38692235236427,64.32302047623159,"(80, 90]","(60, 70]",Y,Y
28,AL10,577.0,2017-03-22,2017-03-29,32.4583,-87.2422,8.093827431519713,6.185513424874262,17.157700000000002,WetDep_SO4_mgm2,111.98499900285664,177.38521964890538,140.45644046586162,118.792428277309,"(140, 150]","(110, 120]",Y,Y
29,AL10,577.0,2017-03-22,2017-03-29,32.4583,-87.2422,22.285737412701575,15.220833328829153,18.89125,WetDep_NO3_mgm2,15.23165848111858,24.114426535496328,140.45644046586162,118.792428277309,"(140, 150]","(110, 120]",Y,Y
30,AL10,577.0,2017-03-22,2017-03-29,32.4583,-87.2422,4.265422136699173,3.1437440792966833,6.88975,WetDep_NH4_mgm2,61.52563050492541,119.15747039884275,140.45644046586162,118.792428277309,"(140, 150]","(110, 120]",Y,Y
31,AL10,577.0,2017-03-22,2017-03-29,32.4583,-87.2422,18.485676621463053,20.31605954099186,44.45,Precipitation_mm,140.45644046586162,118.792428277309,140.45644046586162,118.792428277309,"(140, 150]","(110, 120]",Y,Y
32,AL10,578.0,2017-03-29,2017-04-05,32.4583,-87.2422,6.062182724567561,7.338310045519821,18.987008,WetDep_SO4_mgm2,213.20415207963595,158.73815472803489,68.08154811242736,17.09795270131498,"(60, 70]","(10, 20]",Y,Y
33,AL10,578.0,2017-03-29,2017-04-05,32.4583,-87.2422,21.028146093034074,11.364773203228042,20.15744,WetDep_NO3_mgm2,4.140669791725049,77.36772779833827,68.08154811242736,17.09795270131498,"(60, 70]","(10, 20]",Y,Y
34,AL10,578.0,2017-03-29,2017-04-05,32.4583,-87.2422,4.7108688813245765,2.6203883156406813,5.754624,WetDep_NH4_mgm2,22.156318610632734,119.60958861141167,68.08154811242736,17.09795270131498,"(60, 70]","(10, 20]",Y,Y
35,AL10,578.0,2017-03-29,2017-04-05,32.4583,-87.2422,101.85957675678642,27.76478943481554,32.512,Precipitation_mm,68.08154811242736,17.09795270131498,68.08154811242736,17.09795270131498,"(60, 70]","(10, 20]",Y,Y
40,AL10,580.0,2017-04-26,2017-05-03,32.4583,-87.2422,12.607323590405025,12.04852359405685,64.5414,WetDep_SO4_mgm2,411.93577714718214,435.67891116415456,56.62552345252108,234.14589813865692,"(50, 60]","(230, 240]",Y,Y
41,AL10,580.0,2017-04-26,2017-05-03,32.4583,-87.2422,7.788933011116182,14.039618920561049,36.0934,WetDep_NO3_mgm2,363.3933806914035,157.08247641352395,56.62552345252108,234.14589813865692,"(50, 60]","(230, 240]",Y,Y
42,AL10,580.0,2017-04-26,2017-05-03,32.4583,-87.2422,2.2704168560467233,4.614903911749277,15.7353,WetDep_NH4_mgm2,593.0577509628998,240.9670125512005,56.62552345252108,234.14589813865692,"(50, 60]","(230, 240]",Y,Y
43,AL10,580.0,2017-04-26,2017-05-03,32.4583,-87.2422,56.75958684150789,26.605144787116355,88.9,Precipitation_mm,56.62552345252108,234.14589813865692,56.62552345252108,234.14589813865692,"(50, 60]","(230, 240]",Y,Y
44,AL10,581.0,2017-05-03,2017-05-10,32.4583,-87.2422,4.348228562924972,7.2653602622287545,4.46913,WetDep_SO4_mgm2,2.780475665559299,38.487152203116906,62.814077867277994,30.128595189154776,"(60, 70]","(30, 40]",Y,Y
45,AL10,581.0,2017-05-03,2017-05-10,32.4583,-87.2422,8.559929663106924,5.140122968575719,13.687806,WetDep_NO3_mgm2,59.9055896334533,166.2933568648216,62.814077867277994,30.128595189154776,"(60, 70]","(30, 40]",Y,Y
46,AL10,581.0,2017-05-03,2017-05-10,32.4583,-87.2422,1.8294471678695523,1.5686724182183476,2.909316,WetDep_NH4_mgm2,59.02705752295587,85.46357838715086,62.814077867277994,30.128595189154776,"(60, 70]","(30, 40]",Y,Y
47,AL10,581.0,2017-05-03,2017-05-10,32.4583,-87.2422,47.13073925515989,25.08322259649153,17.526,Precipitation_mm,62.814077867277994,30.128595189154776,62.814077867277994,30.128595189154776,"(60, 70]","(30, 40]",Y,Y
48,AL10,582.0,2017-05-10,2017-05-17,32.4583,-87.2422,6.756098074928388,4.485527398159146,3.9235379999999993,WetDep_SO4_mgm2,41.92597625898751,12.52894806505443,77.15209699588051,65.7688296778377,"(70, 80]","(60, 70]",Y,Y
49,AL10,582.0,2017-05-10,2017-05-17,32.4583,-87.2422,14.897172611723434,9.984526799651507,4.121403999999999,WetDep_NO3_mgm2,72.33432069682384,58.72208986264778,77.15209699588051,65.7688296778377,"(70, 80]","(60, 70]",Y,Y
50,AL10,582.0,2017-05-10,2017-05-17,32.4583,-87.2422,2.102148188772969,1.804637628725128,1.9931379999999996,WetDep_NH4_mgm2,5.185656717978523,10.445330867229906,77.15209699588051,65.7688296778377,"(70, 80]","(60, 70]",Y,Y
51,AL10,582.0,2017-05-10,2017-05-17,32.4583,-87.2422,21.122288549324946,14.098261773058633,4.826,Precipitation_mm,77.15209699588051,65.7688296778377,77.15209699588051,65.7688296778377,"(70, 80]","(60, 70]",Y,Y
52,AL10,583.0,2017-05-17,2017-05-24,32.4583,-87.2422,7.977883528798024,8.919257001416064,4.57835,WetDep_SO4_mgm2,42.611972417579395,48.66893061526179,54.82381781998878,63.20561268108933,"(50, 60]","(60, 70]",Y,Y
53,AL10,583.0,2017-05-17,2017-05-24,32.4583,-87.2422,20.8481492819379,19.479626162111074,15.7353,WetDep_NO3_mgm2,24.524235762104272,19.221755751113903,54.82381781998878,63.20561268108933,"(50, 60]","(60, 70]",Y,Y
54,AL10,583.0,2017-05-17,2017-05-24,32.4583,-87.2422,3.3496165232141384,3.0201109691221912,2.44475,WetDep_NH4_mgm2,27.01403330629233,19.05098769564161,54.82381781998878,63.20561268108933,"(50, 60]","(60, 70]",Y,Y
55,AL10,583.0,2017-05-17,2017-05-24,32.4583,-87.2422,98.3925552249687,120.80646870060718,44.45,Precipitation_mm,54.82381781998878,63.20561268108933,54.82381781998878,63.20561268108933,"(50, 60]","(60, 70]",Y,Y
56,AL10,584.0,2017-05-24,2017-05-31,32.4583,-87.2422,2.8836986161429907,2.408797175469319,17.513808,WetDep_SO4_mgm2,507.33836407027513,627.076907028824,120.20853229551709,28.550165945448665,"(120, 130]","(20, 30]",Y,Y
57,AL10,584.0,2017-05-24,2017-05-31,32.4583,-87.2422,18.901111518352916,13.119966263406976,15.849600000000002,WetDep_NO3_mgm2,16.14461411642329,20.805188685631563,120.20853229551709,28.550165945448665,"(120, 130]","(20, 30]",Y,Y
58,AL10,584.0,2017-05-24,2017-05-31,32.4583,-87.2422,6.100559500805845,3.653502657060966,4.5765720000000005,WetDep_NH4_mgm2,24.981110349051356,25.265325622661265,120.20853229551709,28.550165945448665,"(120, 130]","(20, 30]",Y,Y
59,AL10,584.0,2017-05-24,2017-05-31,32.4583,-87.2422,8.996926592023485,15.411882088434945,19.812,Precipitation_mm,120.20853229551709,28.550165945448665,120.20853229551709,28.550165945448665,"(120, 130]","(20, 30]",Y,Y
64,AL10,586.0,2017-06-07,2017-06-14,32.4583,-87.2422,1.6025373234046176,1.5181927562924737,6.86562,WetDep_SO4_mgm2,328.421847012828,352.22320891362267,127.05321756366065,72.9534809286928,"(120, 130]","(70, 80]",Y,Y
65,AL10,586.0,2017-06-07,2017-06-14,32.4583,-87.2422,11.417512260636364,7.922612166311183,9.594596,WetDep_NO3_mgm2,15.965967182896316,21.10394650893662,127.05321756366065,72.9534809286928,"(120, 130]","(70, 80]",Y,Y
66,AL10,586.0,2017-06-07,2017-06-14,32.4583,-87.2422,2.497757555473823,1.3943582275128052,1.951736,WetDep_NH4_mgm2,21.860470575986028,39.97378589585408,127.05321756366065,72.9534809286928,"(120, 130]","(70, 80]",Y,Y
67,AL10,586.0,2017-06-07,2017-06-14,32.4583,-87.2422,3.80351359591663,4.99325018127883,8.636,Precipitation_mm,127.05321756366065,72.9534809286928,127.05321756366065,72.9534809286928,"(120, 130]","(70, 80]",Y,Y
72,AL10,588.0,2017-06-21,2017-06-28,32.4583,-87.2422,4.961662311480025,8.059117132567362,32.89427,WetDep_SO4_mgm2,562.9687377936024,308.162202619842,91.44899023424392,125.20007677411493,"(90, 100]","(120, 130]",Y,Y
73,AL10,588.0,2017-06-21,2017-06-28,32.4583,-87.2422,14.94597023348344,12.99501340285003,26.203909999999997,WetDep_NO3_mgm2,75.32424854758113,101.64588667721594,91.44899023424392,125.20007677411493,"(90, 100]","(120, 130]",Y,Y
74,AL10,588.0,2017-06-21,2017-06-28,32.4583,-87.2422,2.4860874408760862,3.1511877759526215,4.794758,WetDep_NH4_mgm2,92.86361055387289,52.1571655167556,91.44899023424392,125.20007677411493,"(90, 100]","(120, 130]",Y,Y
75,AL10,588.0,2017-06-21,2017-06-28,32.4583,-87.2422,58.243190451706674,49.51419271133072,111.506,Precipitation_mm,91.44899023424392,125.20007677411493,91.44899023424392,125.20007677411493,"(90, 100]","(120, 130]",Y,Y
84,AL10,591.0,2017-07-19,2017-07-26,32.4583,-87.2422,7.104538999290478,8.660518934117768,1.3914119999999999,WetDep_SO4_mgm2,80.41516838546514,83.93384956969972,95.67194627635536,98.44771385748392,"(90, 100]","(90, 100]",Y,Y
